obs,lat,lon,altitude,time,air_temp,dew_point,rel_hum,air_press,gpt,gpt_height,wind_speed,wind_dir
1,36.1476671,-97.2857261,291.89,1747704744.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,36.1476671,-97.2857262,291.88,1747704745.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,36.1476670,-97.2857263,291.89,1747704746.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,36.1476671,-97.2857263,291.90,1747704747.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,36.1476671,-97.2857265,291.93,1747704748.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,36.1476671,-97.2857266,291.94,1747704749.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,36.1476672,-97.2857267,291.90,1747704750.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,36.1476671,-97.2857268,291.98,1747704751.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,36.1476677,-97.2857268,292.43,1747704752.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,36.1476674,-97.2857269,293.09,1747704753.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,36.1476682,-97.2857272,293.61,1747704754.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,36.1476679,-97.2857273,294.23,1747704755.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,36.1476685,-97.2857269,294.93,1747704756.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,36.1476682,-97.2857268,295.56,1747704757.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,36.1476670,-97.2857259,295.86,1747704758.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,36.1476675,-97.2857251,296.47,1747704759.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,36.1476680,-97.2857256,296.98,1747704760.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,36.1476678,-97.2857265,297.75,1747704761.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,36.1476669,-97.2857264,298.83,1747704762.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,36.1476668,-97.2857259,299.74,1747704763.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,36.1476674,-97.2857252,300.47,1747704764.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,36.1476676,-97.2857252,300.87,1747704765.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,36.1476680,-97.2857255,301.57,1747704766.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,36.1476682,-97.2857253,303.27,1747704767.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,36.1476677,-97.2857254,305.83,1747704768.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,36.1476682,-97.2857259,308.95,1747704769.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,36.1476687,-97.2857252,311.94,1747704770.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,36.1476683,-97.2857260,314.91,1747704771.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,36.1476681,-97.2857259,317.99,1747704772.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,36.1476678,-97.2857265,321.06,1747704773.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
